Date,Store,Product,ExpectedSales,ExpectedLoss,ExpectedClosingStock
2026-05-01,Shop_A,シュー,29,0,0
2026-05-02,Shop_A,シュー,35,0,1
2026-05-03,Shop_A,シュー,34,0,5
2026-05-04,Shop_A,シュー,30,0,6
2026-05-05,Shop_A,シュー,28,0,8
2026-05-06,Shop_A,シュー,32,0,2
2026-05-07,Shop_A,シュー,28,0,4
2026-05-08,Shop_A,シュー,27,0,7
2026-05-09,Shop_A,シュー,33,0,3
2026-05-10,Shop_A,シュー,36,0,0
2026-05-11,Shop_A,シュー,24,0,4
2026-05-12,Shop_A,シュー,26,0,4
2026-05-13,Shop_A,シュー,28,0,0
2026-05-14,Shop_A,シュー,25,0,6
2026-05-15,Shop_A,シュー,28,0,4
2026-05-16,Shop_A,シュー,37,0,2
2026-05-17,Shop_A,シュー,36,0,4
2026-05-18,Shop_A,シュー,27,0,8
2026-05-19,Shop_A,シュー,29,0,5
2026-05-20,Shop_A,シュー,28,0,4
2026-05-21,Shop_A,シュー,28,0,6
2026-05-22,Shop_A,シュー,29,0,2
2026-05-23,Shop_A,シュー,32,1,5
2026-05-24,Shop_A,シュー,29,0,8
2026-05-25,Shop_A,シュー,27,0,0
2026-05-26,Shop_A,シュー,25,0,4
2026-05-27,Shop_A,シュー,26,0,3
2026-05-28,Shop_A,シュー,26,0,5
2026-05-29,Shop_A,シュー,29,0,1
2026-05-30,Shop_A,シュー,36,0,2
2026-05-31,Shop_A,シュー,36,0,4
2026-06-01,Shop_A,シュー,27,0,7
2026-06-02,Shop_A,シュー,28,0,3
2026-06-03,Shop_A,シュー,29,0,5
2026-06-04,Shop_A,シュー,30,0,5
2026-06-05,Shop_A,シュー,26,0,4
2026-06-06,Shop_A,シュー,29,0,7
2026-06-07,Shop_A,シュー,30,0,6
2026-06-08,Shop_A,シュー,25,0,2
2026-06-09,Shop_A,シュー,29,0,0
2026-06-10,Shop_A,シュー,27,0,2
2026-06-11,Shop_A,シュー,29,0,1
2026-06-12,Shop_A,シュー,26,0,6
2026-06-13,Shop_A,シュー,34,0,4
2026-06-14,Shop_A,シュー,35,0,3
2026-06-15,Shop_A,シュー,31,0,0
2026-06-16,Shop_A,シュー,35,0,0
2026-06-17,Shop_A,シュー,25,0,9
2026-06-18,Shop_A,シュー,28,0,4
2026-06-19,Shop_A,シュー,29,1,0
2026-06-20,Shop_A,シュー,30,0,7
2026-06-21,Shop_A,シュー,31,0,1
2026-06-22,Shop_A,シュー,28,0,3
2026-06-23,Shop_A,シュー,24,0,4
2026-06-24,Shop_A,シュー,25,0,3
2026-06-25,Shop_A,シュー,29,0,2
2026-06-26,Shop_A,シュー,28,0,4
2026-06-27,Shop_A,シュー,34,0,4
2026-06-28,Shop_A,シュー,36,0,2
2026-06-29,Shop_A,シュー,30,0,7
2026-06-30,Shop_A,シュー,31,0,4
2026-07-01,Shop_A,シュー,31,0,1
2026-07-02,Shop_A,シュー,27,0,8
2026-07-03,Shop_A,シュー,29,0,0
2026-07-04,Shop_A,シュー,35,0,1
2026-07-05,Shop_A,シュー,33,0,1
2026-07-06,Shop_A,シュー,25,0,3
2026-07-07,Shop_A,シュー,26,0,3
2026-07-08,Shop_A,シュー,26,0,4
2026-07-09,Shop_A,シュー,25,0,4
2026-07-10,Shop_A,シュー,25,0,5
2026-07-11,Shop_A,シュー,36,0,3
2026-07-12,Shop_A,シュー,38,0,1
2026-07-13,Shop_A,シュー,30,0,5
2026-07-14,Shop_A,シュー,31,1,0
2026-07-15,Shop_A,シュー,30,0,4
2026-07-16,Shop_A,シュー,32,0,0
2026-07-17,Shop_A,シュー,25,0,5
2026-07-18,Shop_A,シュー,35,1,0
2026-07-19,Shop_A,シュー,27,0,7
2026-07-20,Shop_A,シュー,25,0,4
2026-07-21,Shop_A,シュー,22,0,6
2026-07-22,Shop_A,シュー,24,0,3
2026-07-23,Shop_A,シュー,28,0,0
2026-07-24,Shop_A,シュー,29,0,0
2026-07-25,Shop_A,シュー,34,0,7
2026-07-26,Shop_A,シュー,35,0,6
2026-07-27,Shop_A,シュー,30,0,4
2026-07-28,Shop_A,シュー,29,0,5
2026-07-29,Shop_A,シュー,30,0,4
2026-07-30,Shop_A,シュー,29,0,3
2026-07-31,Shop_A,シュー,28,0,2
2026-05-01,Shop_A,リッチシュー,16,0,4
2026-05-02,Shop_A,リッチシュー,19,0,0
2026-05-03,Shop_A,リッチシュー,19,0,0
2026-05-04,Shop_A,リッチシュー,18,0,1
2026-05-05,Shop_A,リッチシュー,15,0,4
2026-05-06,Shop_A,リッチシュー,15,0,3
2026-05-07,Shop_A,リッチシュー,16,0,1
2026-05-08,Shop_A,リッチシュー,15,0,4
2026-05-09,Shop_A,リッチシュー,17,0,3
2026-05-10,Shop_A,リッチシュー,16,0,0
2026-05-11,Shop_A,リッチシュー,13,0,0
2026-05-12,Shop_A,リッチシュー,13,0,3
2026-05-13,Shop_A,リッチシュー,18,0,0
2026-05-14,Shop_A,リッチシュー,18,0,0
2026-05-15,Shop_A,リッチシュー,14,0,4
2026-05-16,Shop_A,リッチシュー,21,0,0
2026-05-17,Shop_A,リッチシュー,19,0,0
2026-05-18,Shop_A,リッチシュー,20,0,0
2026-05-19,Shop_A,リッチシュー,16,0,3
2026-05-20,Shop_A,リッチシュー,16,0,0
2026-05-21,Shop_A,リッチシュー,13,0,5
2026-05-22,Shop_A,リッチシュー,14,0,3
2026-05-23,Shop_A,リッチシュー,19,0,1
2026-05-24,Shop_A,リッチシュー,15,0,0
2026-05-25,Shop_A,リッチシュー,10,0,6
2026-05-26,Shop_A,リッチシュー,11,0,4
2026-05-27,Shop_A,リッチシュー,16,0,2
2026-05-28,Shop_A,リッチシュー,16,0,0
2026-05-29,Shop_A,リッチシュー,16,0,1
2026-05-30,Shop_A,リッチシュー,18,0,1
2026-05-31,Shop_A,リッチシュー,17,0,5
2026-06-01,Shop_A,リッチシュー,15,0,3
2026-06-02,Shop_A,リッチシュー,17,0,0
2026-06-03,Shop_A,リッチシュー,18,0,0
2026-06-04,Shop_A,リッチシュー,19,0,0
2026-06-05,Shop_A,リッチシュー,17,0,0
2026-06-06,Shop_A,リッチシュー,19,0,0
2026-06-07,Shop_A,リッチシュー,14,0,2
2026-06-08,Shop_A,リッチシュー,15,0,0
2026-06-09,Shop_A,リッチシュー,9,0,7
2026-06-10,Shop_A,リッチシュー,15,0,1
2026-06-11,Shop_A,リッチシュー,13,0,5
2026-06-12,Shop_A,リッチシュー,15,0,2
2026-06-13,Shop_A,リッチシュー,18,0,3
2026-06-14,Shop_A,リッチシュー,18,0,3
2026-06-15,Shop_A,リッチシュー,16,1,2
2026-06-16,Shop_A,リッチシュー,14,0,5
2026-06-17,Shop_A,リッチシュー,15,0,1
2026-06-18,Shop_A,リッチシュー,16,0,3
2026-06-19,Shop_A,リッチシュー,15,0,4
2026-06-20,Shop_A,リッチシュー,16,0,5
2026-06-21,Shop_A,リッチシュー,15,0,3
2026-06-22,Shop_A,リッチシュー,15,0,0
2026-06-23,Shop_A,リッチシュー,12,0,1
2026-06-24,Shop_A,リッチシュー,10,0,7
2026-06-25,Shop_A,リッチシュー,13,0,5
2026-06-26,Shop_A,リッチシュー,15,0,0
2026-06-27,Shop_A,リッチシュー,19,0,1
2026-06-28,Shop_A,リッチシュー,16,0,8
2026-06-29,Shop_A,リッチシュー,18,0,2
2026-06-30,Shop_A,リッチシュー,17,0,2
2026-07-01,Shop_A,リッチシュー,16,0,5
2026-07-02,Shop_A,リッチシュー,14,0,4
2026-07-03,Shop_A,リッチシュー,16,0,1
2026-07-04,Shop_A,リッチシュー,13,0,5
2026-07-05,Shop_A,リッチシュー,16,1,0
2026-07-06,Shop_A,リッチシュー,12,0,7
2026-07-07,Shop_A,リッチシュー,13,0,3
2026-07-08,Shop_A,リッチシュー,13,0,3
2026-07-09,Shop_A,リッチシュー,14,0,4
2026-07-10,Shop_A,リッチシュー,18,0,3
2026-07-11,Shop_A,リッチシュー,19,0,2
2026-07-12,Shop_A,リッチシュー,20,0,1
2026-07-13,Shop_A,リッチシュー,17,0,0
2026-07-14,Shop_A,リッチシュー,17,0,2
2026-07-15,Shop_A,リッチシュー,15,0,3
2026-07-16,Shop_A,リッチシュー,15,0,4
2026-07-17,Shop_A,リッチシュー,13,0,0
2026-07-18,Shop_A,リッチシュー,14,0,7
2026-07-19,Shop_A,リッチシュー,13,0,0
2026-07-20,Shop_A,リッチシュー,15,0,1
2026-07-21,Shop_A,リッチシュー,12,0,0
2026-07-22,Shop_A,リッチシュー,15,0,1
2026-07-23,Shop_A,リッチシュー,16,0,1
2026-07-24,Shop_A,リッチシュー,13,0,6
2026-07-25,Shop_A,リッチシュー,21,0,3
2026-07-26,Shop_A,リッチシュー,19,0,1
2026-07-27,Shop_A,リッチシュー,15,0,4
2026-07-28,Shop_A,リッチシュー,17,0,0
2026-07-29,Shop_A,リッチシュー,15,0,1
2026-07-30,Shop_A,リッチシュー,14,0,5
2026-07-31,Shop_A,リッチシュー,13,0,0
2026-05-01,Shop_A,エクレア,12,0,1
2026-05-02,Shop_A,エクレア,15,0,0
2026-05-03,Shop_A,エクレア,16,0,2
2026-05-04,Shop_A,エクレア,12,0,6
2026-05-05,Shop_A,エクレア,10,0,3
2026-05-06,Shop_A,エクレア,12,0,0
2026-05-07,Shop_A,エクレア,13,0,0
2026-05-08,Shop_A,エクレア,11,0,4
2026-05-09,Shop_A,エクレア,11,0,6
2026-05-10,Shop_A,エクレア,12,0,3
2026-05-11,Shop_A,エクレア,12,0,0
2026-05-12,Shop_A,エクレア,12,0,3
2026-05-13,Shop_A,エクレア,9,0,0
2026-05-14,Shop_A,エクレア,11,0,0
2026-05-15,Shop_A,エクレア,11,0,0
2026-05-16,Shop_A,エクレア,15,0,4
2026-05-17,Shop_A,エクレア,14,0,6
2026-05-18,Shop_A,エクレア,11,0,0
2026-05-19,Shop_A,エクレア,13,0,0
2026-05-20,Shop_A,エクレア,11,0,0
2026-05-21,Shop_A,エクレア,11,0,5
2026-05-22,Shop_A,エクレア,13,0,2
2026-05-23,Shop_A,エクレア,12,0,0
2026-05-24,Shop_A,エクレア,14,0,2
2026-05-25,Shop_A,エクレア,11,0,0
2026-05-26,Shop_A,エクレア,12,0,0
2026-05-27,Shop_A,エクレア,12,0,0
2026-05-28,Shop_A,エクレア,11,0,1
2026-05-29,Shop_A,エクレア,10,0,2
2026-05-30,Shop_A,エクレア,12,0,0
2026-05-31,Shop_A,エクレア,15,0,2
2026-06-01,Shop_A,エクレア,11,0,4
